item_id,item_name,category,date,sales_qty,month,is_holiday
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-01,11,1,True
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-02,25,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-03,37,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-04,60,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-05,82,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-06,17,1,True
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-07,28,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-08,25,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-09,26,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-10,40,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-11,36,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-12,27,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-13,19,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-14,30,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-15,26,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-16,35,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-17,51,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-18,49,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-19,46,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-20,32,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-21,36,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-22,24,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-23,27,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-24,21,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-25,36,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-26,36,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-27,31,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-28,28,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-29,27,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-30,31,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-01-31,30,1,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-01,39,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-02,44,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-03,42,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-04,27,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-05,14,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-06,37,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-07,45,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-08,28,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-09,43,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-10,24,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-11,19,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-12,33,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-13,43,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-14,30,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-15,54,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-16,25,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-17,29,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-18,49,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-19,44,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-20,62,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-21,34,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-22,36,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-23,18,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-24,23,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-25,22,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-26,36,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-27,58,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-02-28,46,2,False
1,Piątnica Mleko 3.2%,Молочні продукти,2023-03-01,12,3,False
